system:index,lat,lon,mean,station,year_month,.geo
20200901_2,24.94,66.98,17.450000762939453,SITE_Industrial,2020-09,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
20200901_3,24.82,67.03,61.59000015258789,Korangi_Industrial,2020-09,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
20200901_4,24.98,67.12,9.420000076293945,North_Nazimabad,2020-09,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
20200901_5,24.89,67.13,21.739999771118164,Gulistan_Jauhar,2020-09,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
20200901_6,24.81,66.99,32.529998779296875,Landhi,2020-09,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
20200901_7,24.92,67.05,40.09000015258789,Federal_B_Area,2020-09,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
20201001_0,24.9056,67.0822,60.779998779296875,Gulshan-e-Iqbal,2020-10,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
20201001_1,24.856,67.01,99.95999908447266,Saddar,2020-10,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
20201001_2,24.94,66.98,21.290000915527344,SITE_Industrial,2020-10,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
20201001_3,24.82,67.03,67.01000213623047,Korangi_Industrial,2020-10,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
20201001_4,24.98,67.12,10.800000190734863,North_Nazimabad,2020-10,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
20201001_5,24.89,67.13,23.25,Gulistan_Jauhar,2020-10,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
20201001_6,24.81,66.99,45.2400016784668,Landhi,2020-10,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
20201001_7,24.92,67.05,54.90999984741211,Federal_B_Area,2020-10,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
20201101_0,24.9056,67.0822,56.779998779296875,Gulshan-e-Iqbal,2020-11,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
20201101_1,24.856,67.01,77.91000366210938,Saddar,2020-11,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
20201101_2,24.94,66.98,23.200000762939453,SITE_Industrial,2020-11,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
20201101_3,24.82,67.03,63.189998626708984,Korangi_Industrial,2020-11,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
20201101_4,24.98,67.12,12.359999656677246,North_Nazimabad,2020-11,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
20201101_5,24.89,67.13,24.520000457763672,Gulistan_Jauhar,2020-11,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
20201101_6,24.81,66.99,63.11000061035156,Landhi,2020-11,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
20201101_7,24.92,67.05,49.970001220703125,Federal_B_Area,2020-11,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
20201201_0,24.9056,67.0822,64.69000244140625,Gulshan-e-Iqbal,2020-12,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
20201201_1,24.856,67.01,95.91999816894531,Saddar,2020-12,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
20201201_2,24.94,66.98,28.5,SITE_Industrial,2020-12,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
20201201_3,24.82,67.03,75.75,Korangi_Industrial,2020-12,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
20201201_4,24.98,67.12,11.300000190734863,North_Nazimabad,2020-12,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
20201201_5,24.89,67.13,25.06999969482422,Gulistan_Jauhar,2020-12,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
20201201_6,24.81,66.99,31.770000457763672,Landhi,2020-12,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
20201201_7,24.92,67.05,52.400001525878906,Federal_B_Area,2020-12,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
20210101_0,24.9056,67.0822,61.86000061035156,Gulshan-e-Iqbal,2021-01,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
20210101_1,24.856,67.01,90.4800033569336,Saddar,2021-01,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
20210101_2,24.94,66.98,24.110000610351562,SITE_Industrial,2021-01,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
20210101_3,24.82,67.03,66.95999908447266,Korangi_Industrial,2021-01,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
20210101_4,24.98,67.12,13.510000228881836,North_Nazimabad,2021-01,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
20210101_5,24.89,67.13,25.959999084472656,Gulistan_Jauhar,2021-01,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
20210101_6,24.81,66.99,62.470001220703125,Landhi,2021-01,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
