system:index,NDBI,NDVI,lat,lon,station,year_month,.geo
20_1,0.08897839486598969,0.04019024968147278,24.856,67.01,Saddar,2020-09,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
20_2,0.0868028849363327,0.029054254293441772,24.94,66.98,SITE_Industrial,2020-09,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
20_3,-0.031627971678972244,0.24776622653007507,24.82,67.03,Korangi_Industrial,2020-09,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
20_4,0.1177767664194107,0.12429400533437729,24.98,67.12,North_Nazimabad,2020-09,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
20_5,0.040877893567085266,0.25416600704193115,24.89,67.13,Gulistan_Jauhar,2020-09,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
20_6,0.05962515249848366,-0.06633751094341278,24.81,66.99,Landhi,2020-09,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
20_7,0.08739908784627914,0.04472178965806961,24.92,67.05,Federal_B_Area,2020-09,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
21_0,0.045930683612823486,0.041717302054166794,24.9056,67.0822,Gulshan-e-Iqbal,2020-10,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
21_1,0.10523154586553574,0.05801013484597206,24.856,67.01,Saddar,2020-10,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
21_2,0.09624240547418594,0.046169038861989975,24.94,66.98,SITE_Industrial,2020-10,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
21_3,-0.04276638850569725,0.309438556432724,24.82,67.03,Korangi_Industrial,2020-10,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
21_4,0.09921357035636902,0.13800202310085297,24.98,67.12,North_Nazimabad,2020-10,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
21_5,0.0706026703119278,0.23008133471012115,24.89,67.13,Gulistan_Jauhar,2020-10,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
21_6,0.2241014838218689,-0.1647336483001709,24.81,66.99,Landhi,2020-10,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
21_7,0.10065007954835892,0.06034482643008232,24.92,67.05,Federal_B_Area,2020-10,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
22_0,0.03671147674322128,0.047694843262434006,24.9056,67.0822,Gulshan-e-Iqbal,2020-11,"{""type"":""Point"",""coordinates"":[67.0822,24.9056]}"
22_1,0.10891558974981308,0.06089972332119942,24.856,67.01,Saddar,2020-11,"{""type"":""Point"",""coordinates"":[67.01,24.856]}"
22_2,0.08516576886177063,0.05352826043963432,24.94,66.98,SITE_Industrial,2020-11,"{""type"":""Point"",""coordinates"":[66.98,24.94]}"
22_3,-0.035049743950366974,0.29604870080947876,24.82,67.03,Korangi_Industrial,2020-11,"{""type"":""Point"",""coordinates"":[67.03,24.820000000000004]}"
22_4,0.10983504354953766,0.1604754775762558,24.98,67.12,North_Nazimabad,2020-11,"{""type"":""Point"",""coordinates"":[67.12,24.98]}"
22_5,0.09024114906787872,0.22590267658233643,24.89,67.13,Gulistan_Jauhar,2020-11,"{""type"":""Point"",""coordinates"":[67.13,24.89]}"
22_6,0.0715450793504715,-0.14231181144714355,24.81,66.99,Landhi,2020-11,"{""type"":""Point"",""coordinates"":[66.99000000000001,24.809999999999995]}"
22_7,0.09822535514831543,0.05713885277509689,24.92,67.05,Federal_B_Area,2020-11,"{""type"":""Point"",""coordinates"":[67.05,24.92]}"
