date,pm25,pm25_count,scope,source
2019-10-01,49.1278,8,citywide,MERRA-2_GEE
2019-10-02,57.2196,8,citywide,MERRA-2_GEE
2019-10-03,56.2339,8,citywide,MERRA-2_GEE
2019-10-04,55.287,8,citywide,MERRA-2_GEE
2019-10-05,47.7309,8,citywide,MERRA-2_GEE
2019-10-06,61.2928,8,citywide,MERRA-2_GEE
2019-10-07,49.166,8,citywide,MERRA-2_GEE
2019-10-08,34.831,8,citywide,MERRA-2_GEE
2019-10-09,35.3057,8,citywide,MERRA-2_GEE
2019-10-10,30.8597,8,citywide,MERRA-2_GEE
2019-10-11,31.8002,8,citywide,MERRA-2_GEE
2019-10-12,37.5027,8,citywide,MERRA-2_GEE
2019-10-13,32.7462,8,citywide,MERRA-2_GEE
2019-10-14,36.5653,8,citywide,MERRA-2_GEE
2019-10-15,46.1393,8,citywide,MERRA-2_GEE
2019-10-16,37.8143,8,citywide,MERRA-2_GEE
2019-10-17,36.5294,8,citywide,MERRA-2_GEE
2019-10-18,57.1273,8,citywide,MERRA-2_GEE
2019-10-19,70.3446,8,citywide,MERRA-2_GEE
2019-10-20,61.9789,8,citywide,MERRA-2_GEE
2019-10-21,57.6138,8,citywide,MERRA-2_GEE
2019-10-22,53.3242,8,citywide,MERRA-2_GEE
2019-10-23,42.1741,8,citywide,MERRA-2_GEE
2019-10-24,35.2345,8,citywide,MERRA-2_GEE
2019-10-25,53.2974,8,citywide,MERRA-2_GEE
2019-10-26,69.8737,8,citywide,MERRA-2_GEE
2019-10-27,80.4012,8,citywide,MERRA-2_GEE
2019-10-28,65.8829,8,citywide,MERRA-2_GEE
2019-10-29,42.4736,8,citywide,MERRA-2_GEE
2019-10-30,36.1684,8,citywide,MERRA-2_GEE
2019-10-31,26.3723,8,citywide,MERRA-2_GEE
2019-11-01,23.3808,8,citywide,MERRA-2_GEE
2019-11-02,49.6699,8,citywide,MERRA-2_GEE
2019-11-03,59.2184,8,citywide,MERRA-2_GEE
2019-11-04,43.2009,8,citywide,MERRA-2_GEE
2019-11-05,43.4609,8,citywide,MERRA-2_GEE
2019-11-06,79.5988,8,citywide,MERRA-2_GEE
2019-11-07,56.9548,8,citywide,MERRA-2_GEE
2019-11-08,61.1646,8,citywide,MERRA-2_GEE
2019-11-09,48.9329,8,citywide,MERRA-2_GEE
2019-11-10,39.9677,8,citywide,MERRA-2_GEE
2019-11-11,27.2024,8,citywide,MERRA-2_GEE
2019-11-12,41.441,8,citywide,MERRA-2_GEE
2019-11-13,63.4969,8,citywide,MERRA-2_GEE
2019-11-14,94.3403,8,citywide,MERRA-2_GEE
2019-11-15,90.58,8,citywide,MERRA-2_GEE
2019-11-16,48.6261,8,citywide,MERRA-2_GEE
2019-11-17,64.3077,8,citywide,MERRA-2_GEE
2019-11-18,40.1459,8,citywide,MERRA-2_GEE
2019-11-19,26.1387,8,citywide,MERRA-2_GEE
2019-11-20,23.9487,8,citywide,MERRA-2_GEE
2019-11-21,42.9665,8,citywide,MERRA-2_GEE
2019-11-22,77.5466,8,citywide,MERRA-2_GEE
2019-11-23,99.6666,8,citywide,MERRA-2_GEE
2019-11-24,78.3414,8,citywide,MERRA-2_GEE
2019-11-25,56.9244,8,citywide,MERRA-2_GEE
2019-11-26,61.3719,8,citywide,MERRA-2_GEE
2019-11-27,49.2757,8,citywide,MERRA-2_GEE
2019-11-28,58.6007,8,citywide,MERRA-2_GEE
2019-11-29,56.4117,8,citywide,MERRA-2_GEE
2019-11-30,65.6948,8,citywide,MERRA-2_GEE
2019-12-01,69.1387,8,citywide,MERRA-2_GEE
2019-12-02,52.6868,8,citywide,MERRA-2_GEE
2019-12-03,52.7631,8,citywide,MERRA-2_GEE
2019-12-04,51.015,8,citywide,MERRA-2_GEE
2019-12-05,63.6193,8,citywide,MERRA-2_GEE
2019-12-06,60.3106,8,citywide,MERRA-2_GEE
2019-12-07,77.2196,8,citywide,MERRA-2_GEE
2019-12-08,89.4261,8,citywide,MERRA-2_GEE
2019-12-09,64.2708,8,citywide,MERRA-2_GEE
2019-12-10,34.5223,8,citywide,MERRA-2_GEE
2019-12-11,60.3218,8,citywide,MERRA-2_GEE
