date,station,Optical_Depth_055,wind_speed,month,month_sin,day_of_week,month_cos,is_weekend,viirs_ntl,pm25
2019-10-16,Landhi,0.2173890804597701,2.043017590857112,10,-0.8660254037844386,2,0.5000000000000001,0,38.52999877929688,37.8143
2019-10-17,Landhi,0.234279572713643,2.789234528260443,10,-0.8660254037844386,3,0.5000000000000001,0,38.52999877929688,36.5294
2019-10-18,Landhi,0.2803413793103448,2.049218089581204,10,-0.8660254037844386,4,0.5000000000000001,0,38.52999877929688,57.1273
2019-10-19,Landhi,0.3576017991004497,5.511337114644528,10,-0.8660254037844386,5,0.5000000000000001,1,38.52999877929688,70.3446
2019-10-20,Landhi,0.3554034482758621,4.990352171032485,10,-0.8660254037844386,6,0.5000000000000001,1,38.52999877929688,61.9789
2019-10-21,Landhi,0.3005683465085639,3.1402481209799724,10,-0.8660254037844386,0,0.5000000000000001,0,38.52999877929688,57.6138
2019-10-22,Landhi,0.3230196776611693,1.2860077485084864,10,-0.8660254037844386,1,0.5000000000000001,0,38.52999877929688,53.3242
2019-10-23,Landhi,0.3045862068965517,1.6388836868461945,10,-0.8660254037844386,2,0.5000000000000001,0,38.52999877929688,42.1741
2019-10-24,Landhi,0.2750145427286357,0.9354098165084394,10,-0.8660254037844386,3,0.5000000000000001,0,38.52999877929688,35.2345
2019-10-25,Landhi,0.3199241379310344,2.4525801448198186,10,-0.8660254037844386,4,0.5000000000000001,0,38.52999877929688,53.2974
2019-10-26,Landhi,0.3097827586206897,5.438274622065011,10,-0.8660254037844386,5,0.5000000000000001,1,38.52999877929688,69.8737
2019-10-27,Landhi,0.3736551724137931,5.800725876201685,10,-0.8660254037844386,6,0.5000000000000001,1,38.52999877929688,80.4012
2019-10-28,Landhi,0.2499741379310344,4.789307956841232,10,-0.8660254037844386,0,0.5000000000000001,0,38.52999877929688,65.8829
2019-10-29,Landhi,0.316540678976838,2.949070160347667,10,-0.8660254037844386,1,0.5000000000000001,0,38.52999877929688,42.4736
2019-10-30,Landhi,0.3531385950206714,1.605660412048452,10,-0.8660254037844386,2,0.5000000000000001,0,38.52999877929688,36.1684
2019-10-31,Landhi,0.1494782608695652,1.2394981621339405,10,-0.8660254037844386,3,0.5000000000000001,0,38.52999877929688,26.3723
2019-11-01,Landhi,0.1584638256343526,2.7610884276432617,11,-0.5000000000000004,4,0.8660254037844384,0,44.310001373291016,23.3808
2019-11-02,Landhi,0.3906439393939392,5.6682299783391175,11,-0.5000000000000004,5,0.8660254037844384,1,44.310001373291016,49.6699
2019-11-03,Landhi,0.3863068965517241,4.799213076425279,11,-0.5000000000000004,6,0.8660254037844384,1,44.310001373291016,59.2184
2019-11-04,Landhi,0.2413965517241379,1.1515818088367369,11,-0.5000000000000004,0,0.8660254037844384,0,44.310001373291016,43.2009
2019-11-05,Landhi,0.2625264833799315,2.4914508239767126,11,-0.5000000000000004,1,0.8660254037844384,0,44.310001373291016,43.4609
